Observation id;Observation date;Description;Media file;Total length;FPS;Subject;Session;Trial Order;Date;Condition;Behavior;Behavioral category;Modifiers;Behavior type;Start (s);Stop (s);Duration (s);Comment start;Comment stop
ES_Child_119;29.05.2023 22:27;ES_Child_119;C:/Users/rashi/Downloads/ES119 3yxm M YBG.mp4;780.780;59,94005994;ES119;;1;41823;Functional;Researcher present;Researcher status;;STATE;694.761;733.866;39.105;;
ES_Child_116;26.05.2023 18:44;ES_Child_116;C:/Users/rashi/Downloads/ES116 4y1m F Zoo.mp4;876.876;59,94005994;ES116;;1;41823;Functional;Solve to toy;Time Spent;;STATE;695.528;702.218;6.690;;
ES_Child_118;29.05.2023 22:26;ES_Child_118;C:/Users/rashi/Downloads/ES118 3y10m M YBG pt2.mp4;787.787;59,94005994;ES118;;2;41823;Non-functional;Right box (front);Proximity;;STATE;695.578;707.190;11.612;;
ES_Child_119;29.05.2023 22:27;ES_Child_119;C:/Users/rashi/Downloads/ES119 3yxm M YBG.mp4;780.780;59,94005994;ES119;;1;41823;Functional;Exiting at end of trial;Movement;;STATE;697.680;703.002;5.322;;
ES_Child_116;26.05.2023 18:44;ES_Child_116;C:/Users/rashi/Downloads/ES116 4y1m F Zoo.mp4;876.876;59,94005994;ES116;;1;41823;Functional;Toy to end of trial;Time Spent;;STATE;702.218;738.087;35.869;;
ES_Child_118;29.05.2023 22:26;ES_Child_118;C:/Users/rashi/Downloads/ES118 3y10m M YBG pt2.mp4;787.787;59,94005994;ES118;;2;41823;Non-functional;Right box (side);Peeking;;STATE;708.324;710.843;2.519;;
ES_Child_115;25.05.2023 15:56;ES_Child_115;C:/Users/rashi/Downloads/ES 115 2y8m Zoo.mp4;978.978;59,94005994;ES115;;2;41823;Non-functional;Researcher present;Researcher status;;STATE;708.541;764.430;55.889;;
ES_Child_116;26.05.2023 18:44;ES_Child_116;C:/Users/rashi/Downloads/ES116 4y1m F Zoo.mp4;876.876;59,94005994;ES116;;1;41823;Functional;Researcher absent;Researcher status;;STATE;711.978;738.087;26.109;;
ES_Child_118;29.05.2023 22:26;ES_Child_118;C:/Users/rashi/Downloads/ES118 3y10m M YBG pt2.mp4;787.787;59,94005994;ES118;;2;41823;Non-functional;Researcher present;Researcher status;;STATE;712.912;753.303;40.391;;
ES_Child_116;26.05.2023 18:44;ES_Child_116;C:/Users/rashi/Downloads/ES116 4y1m F Zoo.mp4;876.876;59,94005994;ES116;;1;41823;Functional;Right box (front);Proximity;;STATE;713.529;735.585;22.056;;
ES_Child_115;25.05.2023 15:56;ES_Child_115;C:/Users/rashi/Downloads/ES 115 2y8m Zoo.mp4;978.978;59,94005994;ES115;;2;41823;Non-functional;Exiting at end of trial;Movement;;STATE;714.530;718.585;4.055;;
ES_Child_117;29.05.2023 21:21;ES_Child_117;C:/Users/rashi/Downloads/ES117 3y1m F YBG pt2.mp4;895.394;59,94005994;ES117;;1;41823;Functional;Arriving at start of trial;Movement;;STATE;716.099;724.007;7.908;;
ES_Child_117;29.05.2023 21:21;ES_Child_117;C:/Users/rashi/Downloads/ES117 3y1m F YBG pt2.mp4;895.394;59,94005994;ES117;;1;41823;Functional;Non-functional;Trial type;;STATE;716.099;793.476;77.377;;
ES_Child_118;29.05.2023 22:26;ES_Child_118;C:/Users/rashi/Downloads/ES118 3y10m M YBG pt2.mp4;787.787;59,94005994;ES118;;2;41823;Non-functional;Exiting at end of trial;Movement;;STATE;716.466;721.104;4.638;;
ES_Child_119;29.05.2023 22:27;ES_Child_119;C:/Users/rashi/Downloads/ES119 3yxm M YBG.mp4;780.780;59,94005994;ES119;;1;41823;Functional;Non-functional;Trial type;;STATE;718.201;768.184;49.983;;
ES_Child_119;29.05.2023 22:27;ES_Child_119;C:/Users/rashi/Downloads/ES119 3yxm M YBG.mp4;780.780;59,94005994;ES119;;1;41823;Functional;Arriving at start of trial;Movement;;STATE;723.923;724.357;0.434;;
ES_Child_119;29.05.2023 22:27;ES_Child_119;C:/Users/rashi/Downloads/ES119 3yxm M YBG.mp4;780.780;59,94005994;ES119;;1;41823;Functional;Solve to toy;Time Spent;;STATE;724.357;729.612;5.255;;
ES_Child_117;29.05.2023 21:21;ES_Child_117;C:/Users/rashi/Downloads/ES117 3y1m F YBG pt2.mp4;895.394;59,94005994;ES117;;1;41823;Functional;Solve to toy;Time Spent;;STATE;726.409;732.882;6.473;;
ES_Child_119;29.05.2023 22:27;ES_Child_119;C:/Users/rashi/Downloads/ES119 3yxm M YBG.mp4;780.780;59,94005994;ES119;;1;41823;Functional;Toy to end of trial;Time Spent;;STATE;730.530;768.184;37.654;;
