Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Session,Trial Order,Date,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
ReliabilityJohn10.7.22ESExpS2.MTS.re-encoded.1920px.800k - copy,27/01/2023 12:49,ReliabilityJohn10.7.22ESExpS2.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilityJohn10.7.22ESExpS2.MTS.re-encoded.1920px.800k.avi,330.76,25,John,2,2,10722,Non-functional,Food to end of trial,Time spent,,STATE,180.447,219.644,39.197,,
ReliabilityFay11.15.22ESExpS8.MTS.re-encoded.1920px.800k - copy,22/01/2023 11:40,ReliabilityFay11.15.22ESExpS8.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilityFay11.15.22ESExpS8.MTS.re-encoded.1920px.800k.avi,289.96,25,Fay,8,2,111522,Non-functional,Fiddling with wood,Fiddling,,STATE,180.499,181.995,1.496,,
ReliabilityRoku10.25.22ESExpS7.MTS.re-encoded.1920px.800k - copy,30/01/2023 13:28,ReliabilityRoku10.25.22ESExpS7.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilityRoku10.25.22ESExpS7.MTS.re-encoded.1920px.800k.avi,301.96,25,Roku,7,1,102522,Functional,Midd box,Proximity,,STATE,181.431,190.706,9.275,,
ReliabilityJohn10.7.22ESExpS2.MTS.re-encoded.1920px.800k - copy,27/01/2023 12:49,ReliabilityJohn10.7.22ESExpS2.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilityJohn10.7.22ESExpS2.MTS.re-encoded.1920px.800k.avi,330.76,25,John,2,2,10722,Non-functional,Left box,Proximity,,STATE,182.272,192.449,10.177,,
ReliabilityJohn10.7.22ESExpS2.MTS.re-encoded.1920px.800k - copy,27/01/2023 12:49,ReliabilityJohn10.7.22ESExpS2.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilityJohn10.7.22ESExpS2.MTS.re-encoded.1920px.800k.avi,330.76,25,John,2,2,10722,Non-functional,Testing compartment,Compartment,,STATE,182.272,214.348,32.076,,
ReliabilityFay11.15.22ESExpS8.MTS.re-encoded.1920px.800k - copy,22/01/2023 11:40,ReliabilityFay11.15.22ESExpS8.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilityFay11.15.22ESExpS8.MTS.re-encoded.1920px.800k.avi,289.96,25,Fay,8,2,111522,Non-functional,Fiddling with wood,Fiddling,,STATE,184.173,184.72,0.547,,
ReliabilityFay11.2.22ESExpS5.MTS.re-encoded.1920px.800k - copy,22/01/2023 11:19,ReliabilityFay11.2.22ESExpS5.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilityFay11.2.22ESExpS5.MTS.re-encoded.1920px.800k.avi,308.68,25,Fay,5,2,11222,Non-functional,Non-functional,Trial type,,STATE,184.811,226.138,41.327,,
ReliabilityFay11.2.22ESExpS5.MTS.re-encoded.1920px.800k - copy,22/01/2023 11:19,ReliabilityFay11.2.22ESExpS5.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilityFay11.2.22ESExpS5.MTS.re-encoded.1920px.800k.avi,308.68,25,Fay,5,2,11222,Non-functional,Testing compartment,Compartment,,STATE,184.811,222.717,37.906,,
ReliabilityFay11.2.22ESExpS5.MTS.re-encoded.1920px.800k - copy,22/01/2023 11:19,ReliabilityFay11.2.22ESExpS5.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilityFay11.2.22ESExpS5.MTS.re-encoded.1920px.800k.avi,308.68,25,Fay,5,2,11222,Non-functional,Arriving at start of trial,Movement,,STATE,184.811,185.991,1.18,,
ReliabilitySkipper10.19.22ESExpS3.MTS.re-encoded.1920px.800k - copy,30/01/2023 17:06,ReliabilitySkipper10.19.22ESExpS3.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilitySkipper10.19.22ESExpS3.MTS.re-encoded.1920px.800k.avi,318.76,25,Skipper,3,2,101922,Non-functional,Food to end of trial,Time spent,,STATE,184.904,224.229,39.325,,
ReliabilitySkipper10.19.22ESExpS3.MTS.re-encoded.1920px.800k - copy,30/01/2023 17:06,ReliabilitySkipper10.19.22ESExpS3.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilitySkipper10.19.22ESExpS3.MTS.re-encoded.1920px.800k.avi,318.76,25,Skipper,3,2,101922,Non-functional,Midd box,Proximity,,STATE,184.904,185.229,0.325,,
ReliabilitySkipper10.19.22ESExpS3.MTS.re-encoded.1920px.800k - copy,30/01/2023 17:06,ReliabilitySkipper10.19.22ESExpS3.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilitySkipper10.19.22ESExpS3.MTS.re-encoded.1920px.800k.avi,318.76,25,Skipper,3,2,101922,Non-functional,Left box,Proximity,,STATE,185.229,185.854,0.625,,
ReliabilitySkipper10.19.22ESExpS3.MTS.re-encoded.1920px.800k - copy,30/01/2023 17:06,ReliabilitySkipper10.19.22ESExpS3.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilitySkipper10.19.22ESExpS3.MTS.re-encoded.1920px.800k.avi,318.76,25,Skipper,3,2,101922,Non-functional,Midd box,Proximity,,STATE,185.854,188.027,2.173,,
ReliabilityFay11.2.22ESExpS5.MTS.re-encoded.1920px.800k - copy,22/01/2023 11:19,ReliabilityFay11.2.22ESExpS5.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilityFay11.2.22ESExpS5.MTS.re-encoded.1920px.800k.avi,308.68,25,Fay,5,2,11222,Non-functional,Solve to food,Time spent,,STATE,185.991,190.311,4.32,,
ReliabilityFay11.2.22ESExpS5.MTS.re-encoded.1920px.800k - copy,22/01/2023 11:19,ReliabilityFay11.2.22ESExpS5.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilityFay11.2.22ESExpS5.MTS.re-encoded.1920px.800k.avi,308.68,25,Fay,5,2,11222,Non-functional,Fiddling with wood,Fiddling,,STATE,185.991,188.586,2.595,,
