,Subject,Session,Trial,Condition,sum_peeking,Trial_Duration,Proportionpeeking,peeking_binary,Prop_peeking_reli,Peeking_binary_reli
196,Plume,2,5,Functional,2.825,43.175,0.065431384,1,0.067708333,1
197,Plume,3,4,Functional,2.251,41.621,0.054083275,1,NA,NA
198,Plume,3,5,Non-functional,1.099,36.599,0.030028143,1,NA,NA
199,Plume,4,4,Functional,3.332,41.953,0.079422211,1,NA,NA
200,Plume,4,5,Non-functional,0,35.325,0,0,NA,NA
201,Plume,5,4,Non-functional,0,35.575,0,0,0,0
202,Plume,5,5,Functional,0,39.77,0,0,0,0
203,Plume,6,4,Non-functional,0,36.151,0,0,NA,NA
204,Plume,6,5,Functional,0,39.382,0,0,NA,NA
205,Plume,7,4,Functional,0,41.125,0,0,NA,NA
206,Plume,7,5,Non-functional,0,40.849,0,0,NA,NA
207,Plume,8,4,Non-functional,0,35.5,0,0,NA,NA
208,Plume,8,5,Functional,0,41.176,0,0,NA,NA
209,Roku,1,4,Non-functional,3.055,38.085,0.080215308,1,NA,NA
210,Roku,1,5,Functional,0,45.175,0,0,NA,NA
211,Roku,2,4,Functional,0,46.84,0,0,NA,NA
212,Roku,2,5,Non-functional,1.95,40.19,0.048519532,1,NA,NA
213,Roku,3,4,Functional,0,43.376,0,0,NA,NA
214,Roku,3,5,Non-functional,0.949,37.125,0.02556229,1,NA,NA
215,Roku,4,4,Functional,0,38.705,0,0,NA,NA
216,Roku,4,5,Non-functional,1.4,35.949,0.03894406,1,NA,NA
217,Roku,5,4,Non-functional,5.725,36.686,0.156054081,1,0.154403702,1
218,Roku,5,5,Functional,0,41,0,0,0,0
219,Roku,6,4,Non-functional,0,32.965,0,0,NA,NA
220,Roku,6,5,Functional,1.06,37.971,0.027916041,1,NA,NA
221,Roku,7,4,Functional,1.949,39.869,0.048885099,1,0.045321201,1
222,Roku,7,5,Non-functional,2.075,36.48,0.056880482,1,NA,NA
223,Roku,8,4,Non-functional,7.531,34.13,0.220656314,1,NA,NA
224,Roku,8,5,Functional,0,40.9,0,0,NA,NA
225,Skipper,1,4,Functional,0,45.3,0,0,0,0
226,Skipper,1,5,Non-functional,0,39.026,0,0,0,0
227,Skipper,2,4,Non-functional,0,41.265,0,0,NA,NA
228,Skipper,2,5,Functional,0,41.175,0,0,NA,NA
229,Skipper,3,4,Non-functional,0,38.226,0,0,0,0
230,Skipper,3,5,Functional,0,43.47,0,0,0,0
231,Skipper,4,4,Functional,0,39.41,0,0,NA,NA
232,Skipper,4,5,Non-functional,0,36.499,0,0,NA,NA
233,Skipper,5,4,Non-functional,0,38.149,0,0,NA,NA
234,Skipper,5,5,Functional,0,38.525,0,0,NA,NA
235,Skipper,6,4,Functional,0,38.824,0,0,NA,NA
236,Skipper,6,5,Non-functional,0,35.67,0,0,NA,NA
237,Skipper,7,4,Non-functional,0,33.326,0,0,NA,NA
238,Skipper,7,5,Functional,0,38.4,0,0,NA,NA
239,Skipper,8,4,Functional,0,41.201,0,0,NA,NA
240,Skipper,8,5,Non-functional,0,38.7,0,0,NA,NA
241,Sunny,1,4,Non-functional,1.349,35.475,0.038026779,1,NA,NA
242,Sunny,1,5,Functional,0,42.475,0,0,NA,NA
