Observation id,Observation date,Media file,Total length,FPS,Subject,Session,Trial Order,Date,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s)
Tai11.29.22ESExpS8.MTS.re-encoded.1920px.800k,12/15/2022 16:06,D:/Explanation Seeking/Experiment/Tai/Tai11.29.22ESExpS8.MTS.re-encoded.1920px.800k.avi,379.24,25,Tai,8,2,112922,Non-functional,Non-functional,Trial type,,STATE,245.09,288.115,43.025
Tai11.29.22ESExpS8.MTS.re-encoded.1920px.800k,12/15/2022 16:06,D:/Explanation Seeking/Experiment/Tai/Tai11.29.22ESExpS8.MTS.re-encoded.1920px.800k.avi,379.24,25,Tai,8,2,112922,Non-functional,Testing compartment,Compartment,,STATE,245.09,283.29,38.2
Tai11.29.22ESExpS8.MTS.re-encoded.1920px.800k,12/15/2022 16:06,D:/Explanation Seeking/Experiment/Tai/Tai11.29.22ESExpS8.MTS.re-encoded.1920px.800k.avi,379.24,25,Tai,8,2,112922,Non-functional,Arriving at start of trial,Movement,,STATE,245.09,247.565,2.475
Tai11.29.22ESExpS8.MTS.re-encoded.1920px.800k,12/15/2022 16:06,D:/Explanation Seeking/Experiment/Tai/Tai11.29.22ESExpS8.MTS.re-encoded.1920px.800k.avi,379.24,25,Tai,8,2,112922,Non-functional,Solve to food,Time spent,,STATE,247.565,251.715,4.15
Tai11.29.22ESExpS8.MTS.re-encoded.1920px.800k,12/15/2022 16:06,D:/Explanation Seeking/Experiment/Tai/Tai11.29.22ESExpS8.MTS.re-encoded.1920px.800k.avi,379.24,25,Tai,8,2,112922,Non-functional,Right box (front),Proximity,,STATE,247.565,251.715,4.15
Tai11.29.22ESExpS8.MTS.re-encoded.1920px.800k,12/15/2022 16:06,D:/Explanation Seeking/Experiment/Tai/Tai11.29.22ESExpS8.MTS.re-encoded.1920px.800k.avi,379.24,25,Tai,8,2,112922,Non-functional,Food to end of trial,Time spent,,STATE,251.715,288.115,36.4
Tai11.29.22ESExpS8.MTS.re-encoded.1920px.800k,12/15/2022 16:06,D:/Explanation Seeking/Experiment/Tai/Tai11.29.22ESExpS8.MTS.re-encoded.1920px.800k.avi,379.24,25,Tai,8,2,112922,Non-functional,Midd box,Proximity,,STATE,251.715,252.69,0.975
Tai11.29.22ESExpS8.MTS.re-encoded.1920px.800k,12/15/2022 16:06,D:/Explanation Seeking/Experiment/Tai/Tai11.29.22ESExpS8.MTS.re-encoded.1920px.800k.avi,379.24,25,Tai,8,2,112922,Non-functional,Left box,Proximity,,STATE,252.69,254.09,1.4
Mali11.29.22ESExpS3.MTS.re-encoded.1920px.800k,12/15/2022 16:25,D:/Explanation Seeking/Experiment/Mali/Mali11.29.22ESExpS3.MTS.re-encoded.1920px.800k.avi,406.12,25,Mali,3,2,112922,Non-functional,Non-functional,Trial type,,STATE,261.41,302.78,41.37
Mali11.29.22ESExpS3.MTS.re-encoded.1920px.800k,12/15/2022 16:25,D:/Explanation Seeking/Experiment/Mali/Mali11.29.22ESExpS3.MTS.re-encoded.1920px.800k.avi,406.12,25,Mali,3,2,112922,Non-functional,Testing compartment,Compartment,,STATE,261.41,300.755,39.345
